Experiment,Dataset,Sample_ID,Original_Length,Compressed_Length,Compression_Rate,Prompt_Category,Model_Used,Time_Sec,Emissions_kg,Original_Prompt,Compressed_Prompt,Generated_Output,Reference_Output
NeMo_Curator,SST-2,0,59,59,1.0,Easy,tinyllama,4.838291883468628,1.3659345639094317e-08,"Sentence: uneasy mishmash of styles and genres .
Sentiment:","Sentence: uneasy mishmash of styles and genres .
Sentiment:","a jumbled, unsolvable mass of contradictions .",-1
NeMo_Curator,SST-2,1,179,179,1.0,Easy,tinyllama,4.777434825897217,1.6409814167197335e-08,"Sentence: this film 's relationship to actual tension is the same as what christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation .
Sentiment:","Sentence: this film 's relationship to actual tension is the same as what christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation .
Sentiment:","it's an effective piece for those who are looking for a good thriller, who have been burned previously by the similarities, and who can't get behind the clues for the newest new year's sequel. based",-1
NeMo_Curator,SST-2,2,122,122,1.0,Easy,tinyllama,3.7828049659729004,5.485486286732341e-07,"Sentence: by the end of no such thing the audience , like beatrice , has a watchful affection for the monster .
Sentiment:","Sentence: by the end of no such thing the audience , like beatrice , has a watchful affection for the monster .
Sentiment:","by the end of no such thing , the audience finds itself looking for the beast in another form.",-1
NeMo_Curator,SST-2,3,81,81,1.0,Easy,tinyllama,4.6210691928863525,2.8772728447466453e-06,"Sentence: director rob marshall went out gunning to make a great one .
Sentiment:","Sentence: director rob marshall went out gunning to make a great one .
Sentiment:",the film is a delight from start to finish . this is a rare cinematic achievement and a truly remarkable film .,-1
NeMo_Curator,SST-2,4,128,128,1.0,Easy,tinyllama,4.649663925170898,2.655211267114617e-06,"Sentence: lathan and diggs have considerable personal charm , and their screen rapport makes the old story seem new .
Sentiment:","Sentence: lathan and diggs have considerable personal charm , and their screen rapport makes the old story seem new .
Sentiment:",it's an old story with a new title.,-1
NeMo_Curator,CNN_DailyMail,0,3623,1964,0.5,Easy,tinyllama,5.632246017456055,6.106943069443113e-06,"Summarize: (CNN)The Palestinian Authority officially became the 123rd member of the International Criminal Court on Wednesday, a step that gives the court jurisdiction over alleged crimes in Palestinian territories. The formal accession was marked with a ceremony at The Hague, in the Netherlands, where the court is based. The Palestinians signed the ICC's founding Rome Statute in January, when they also accepted its jurisdiction over alleged crimes committed ""in the occupied Palestinian territory, including East Jerusalem, since June 13, 2014."" Later that month, the ICC opened a preliminary examination into the situation in Palestinian territories, paving the way for possible war crimes investigations against Israelis. As members of the court, Palestinians may be subject to counter-charges as well. Israel and the United States, neither of which is an ICC member, opposed the Palestinians' efforts to join the body. But Palestinian Foreign Minister Riad al-Malki, speaking at Wednesday's ceremony, said it was a move toward greater justice. ""As Palestine formally becomes a State Party to the Rome Statute today, the world is also a step closer to ending a long era of impunity and injustice,"" he said, according to an ICC news release. ""Indeed, today brings us closer to our shared goals of justice and peace."" Judge Kuniko Ozaki, a vice president of the ICC, said acceding to the treaty was just the first step for the Palestinians. ""As the Rome Statute today enters into force for the State of Palestine, Palestine acquires all the rights as well as responsibilities that come with being a State Party to the Statute. These are substantive commitments, which cannot be taken lightly,"" she said. Rights group Human Rights Watch welcomed the development. ""Governments seeking to penalize Palestine for joining the ICC should immediately end their pressure, and countries that support universal acceptance of the court's treaty should speak out to welcome its membership,"" said Balkees Jarrah, international justice counsel for the group. ""What's objectionable is the attempts to undermine international justice, not Palestine's decision to join a treaty to which over 100 countries around the world are members."" In January, when the preliminary ICC examination was opened, Israeli Prime Minister Benjamin Netanyahu described it as an outrage, saying the court was overstepping its boundaries. The United States also said it ""strongly"" disagreed with the court's decision. ""As we have said repeatedly, we do not believe that Palestine is a state and therefore we do not believe that it is eligible to join the ICC,"" the State Department said in a statement. It urged the warring sides to resolve their differences through direct negotiations. ""We will continue to oppose actions against Israel at the ICC as counterproductive to the cause of peace,"" it said. But the ICC begs to differ with the definition of a state for its purposes and refers to the territories as ""Palestine."" While a preliminary examination is not a formal investigation, it allows the court to review evidence and determine whether to investigate suspects on both sides. Prosecutor Fatou Bensouda said her office would ""conduct its analysis in full independence and impartiality."" The war between Israel and Hamas militants in Gaza last summer left more than 2,000 people dead. The inquiry will include alleged war crimes committed since June. The International Criminal Court was set up in 2002 to prosecute genocide, crimes against humanity and war crimes. CNN's Vasco Cotovio, Kareem Khadder and Faith Karimi contributed to this report.","Palestinian Authority became 123rd member International Criminal Court Wednesday court jurisdiction over alleged crimes in Palestinian territories formal accession marked with ceremony at The Hague Netherlands Palestinians signed ICC Rome Statute January accepted jurisdiction over alleged crimes in occupied Palestinian territory including East Jerusalem since June 13, 2014 Later month ICC opened preliminary examination war crimes investigations against Israelis Palestinians subject to counter - charges Israel United States ICC opposed efforts Palestinian Foreign Minister Riad al - Malki move toward greater justice Palestine becomes State Party to Rome Statute step closer to ending impunity injustice. goals justice peace. Judge Kuniko Ozaki vice president acceding treaty first step for Palestinians Rome Statute for Palestine Palestine acquires rights responsibilities State Party substantive commitments Human Rights Watch welcomed development Governments penalize Palestine for ICC should end pressure countries acceptance treaty welcome membership Balkees Jarrah objectionable attempts to undermine international justice not Palestine ' s decision to join treaty over 100 countries members January preliminary ICC examination opened Israeli Prime Minister Benjamin Netanyahu described outrage court overstepping boundariesUnited States disagreed with court decision. believe Palestine state eligible to join ICC State Department urged sides resolve differences negotiations. oppose actions against Israel ICC counterproductive to peace ICC differ state refers Palestine. preliminary examination not allows court review evidence suspects. Prosecutor Fatou Bensouda analysis full independence impartiality. war between Israel Hamas in Gaza left 2, 000 people dead. inquiry alleged war crimes since June. International Criminal Court 2002 prosecute genocide crimes against humanity war crimes. Vasco Cotovio Kareem Khadder Faith Karimi contributed report","Palestinian Ambassador Hussein al-Sheikh said Palestine ' s admission comes at a crucial time, as Israel continues its unilateral annexation plans in the West Bank and Jerusalem. Palestine became 12","Membership gives the ICC jurisdiction over alleged crimes committed in Palestinian territories since last June .
Israel and the United States opposed the move, which could open the door to war crimes investigations against Israelis ."
NeMo_Curator,CNN_DailyMail,1,2342,2342,1.0,Easy,tinyllama,6.04719090461731,7.358270041512676e-08,"Summarize: (CNN)Never mind cats having nine lives. A stray pooch in Washington State has used up at least three of her own after being hit by a car, apparently whacked on the head with a hammer in a misguided mercy killing and then buried in a field -- only to survive. That's according to Washington State University, where the dog -- a friendly white-and-black bully breed mix now named Theia -- has been receiving care at the Veterinary Teaching Hospital. Four days after her apparent death, the dog managed to stagger to a nearby farm, dirt-covered and emaciated, where she was found by a worker who took her to a vet for help. She was taken in by Moses Lake, Washington, resident Sara Mellado. ""Considering everything that she's been through, she's incredibly gentle and loving,"" Mellado said, according to WSU News. ""She's a true miracle dog and she deserves a good life."" Theia is only one year old but the dog's brush with death did not leave her unscathed. She suffered a dislocated jaw, leg injuries and a caved-in sinus cavity -- and still requires surgery to help her breathe. The veterinary hospital's Good Samaritan Fund committee awarded some money to help pay for the dog's treatment, but Mellado has set up a fundraising page to help meet the remaining cost of the dog's care. She's also created a Facebook page to keep supporters updated. Donors have already surpassed the $10,000 target, inspired by Theia's tale of survival against the odds. On the fundraising page, Mellado writes, ""She is in desperate need of extensive medical procedures to fix her nasal damage and reset her jaw. I agreed to foster her until she finally found a loving home."" She is dedicated to making sure Theia gets the medical attention she needs, Mellado adds, and wants to ""make sure she gets placed in a family where this will never happen to her again!"" Any additional funds raised will be ""paid forward"" to help other animals. Theia is not the only animal to apparently rise from the grave in recent weeks. A cat in Tampa, Florida, found seemingly dead after he was hit by a car in January, showed up alive in a neighbor's yard five days after he was buried by his owner. The cat was in bad shape, with maggots covering open wounds on his body and a ruined left eye, but remarkably survived with the help of treatment from the Humane Society.","Summarize: (CNN)Never mind cats having nine lives. A stray pooch in Washington State has used up at least three of her own after being hit by a car, apparently whacked on the head with a hammer in a misguided mercy killing and then buried in a field -- only to survive. That's according to Washington State University, where the dog -- a friendly white-and-black bully breed mix now named Theia -- has been receiving care at the Veterinary Teaching Hospital. Four days after her apparent death, the dog managed to stagger to a nearby farm, dirt-covered and emaciated, where she was found by a worker who took her to a vet for help. She was taken in by Moses Lake, Washington, resident Sara Mellado. ""Considering everything that she's been through, she's incredibly gentle and loving,"" Mellado said, according to WSU News. ""She's a true miracle dog and she deserves a good life."" Theia is only one year old but the dog's brush with death did not leave her unscathed. She suffered a dislocated jaw, leg injuries and a caved-in sinus cavity -- and still requires surgery to help her breathe. The veterinary hospital's Good Samaritan Fund committee awarded some money to help pay for the dog's treatment, but Mellado has set up a fundraising page to help meet the remaining cost of the dog's care. She's also created a Facebook page to keep supporters updated. Donors have already surpassed the $10,000 target, inspired by Theia's tale of survival against the odds. On the fundraising page, Mellado writes, ""She is in desperate need of extensive medical procedures to fix her nasal damage and reset her jaw. I agreed to foster her until she finally found a loving home."" She is dedicated to making sure Theia gets the medical attention she needs, Mellado adds, and wants to ""make sure she gets placed in a family where this will never happen to her again!"" Any additional funds raised will be ""paid forward"" to help other animals. Theia is not the only animal to apparently rise from the grave in recent weeks. A cat in Tampa, Florida, found seemingly dead after he was hit by a car in January, showed up alive in a neighbor's yard five days after he was buried by his owner. The cat was in bad shape, with maggots covering open wounds on his body and a ruined left eye, but remarkably survived with the help of treatment from the Humane Society.","But Theia's case is different. While she lived in captivity in a kennel, she has no background in animal rescue. There's no telling what could have happened to her over the months since the initial trauma. ""","Theia, a bully breed mix, was apparently hit by a car, whacked with a hammer and buried in a field .
""She's a true miracle dog and she deserves a good life,"" says Sara Mellado, who is looking for a home for Theia ."
NeMo_Curator,CNN_DailyMail,2,4139,2289,0.5,Easy,tinyllama,5.907937049865723,6.850431790769218e-06,"Summarize: (CNN)If you've been following the news lately, there are certain things you doubtless know about Mohammad Javad Zarif. He is, of course, the Iranian foreign minister. He has been U.S. Secretary of State John Kerry's opposite number in securing a breakthrough in nuclear discussions that could lead to an end to sanctions against Iran -- if the details can be worked out in the coming weeks. And he received a hero's welcome as he arrived in Iran on a sunny Friday morning. ""Long live Zarif,"" crowds chanted as his car rolled slowly down the packed street. You may well have read that he is ""polished"" and, unusually for one burdened with such weighty issues, ""jovial."" An Internet search for ""Mohammad Javad Zarif"" and ""jovial"" yields thousands of results. He certainly has gone a long way to bring Iran in from the cold and allow it to rejoin the international community. But there are some facts about Zarif that are less well-known. Here are six: . In September 2013, Zarif tweeted ""Happy Rosh Hashanah,"" referring to the Jewish New Year. That prompted Christine Pelosi, the daughter of House Minority Leader Nancy Pelosi, to respond with a tweet of her own: ""Thanks. The New Year would be even sweeter if you would end Iran's Holocaust denial, sir."" And, perhaps to her surprise, Pelosi got a response. ""Iran never denied it,"" Zarif tweeted back. ""The man who was perceived to be denying it is now gone. Happy New Year."" The reference was likely to former Iranian President Mahmoud Ahmadinejad, who had left office the previous month. Zarif was nominated to be foreign minister by Ahmadinejad's successor, Hassan Rouhami. His foreign ministry notes, perhaps defensively, that ""due to the political and security conditions of the time, he decided to continue his education in the United States."" That is another way of saying that he was outside the country during the demonstrations against the Shah of Iran, which began in 1977, and during the Iranian Revolution, which drove the shah from power in 1979. Zarif left the country in 1977, received his undergraduate degree from San Francisco State University in 1981, his master's in international relations from the University of Denver in 1984 and his doctorate from the University of Denver in 1988. Both of his children were born in the United States. The website of the Iranian Foreign Ministry, which Zarif runs, cannot even agree with itself on when he was born. The first sentence of his official biography, perhaps in a nod to the powers that be in Tehran, says Zarif was ""born to a religious traditional family in Tehran in 1959."" Later on the same page, however, his date of birth is listed as January 8, 1960. And the Iranian Diplomacy website says he was born in in 1961 . So he is 54, 55 or maybe even 56. Whichever, he is still considerably younger than his opposite number, Kerry, who is 71. The feds investigated him over his alleged role in controlling the Alavi Foundation, a charitable organization. The U.S. Justice Department said the organization was secretly run on behalf of the Iranian government to launder money and get around U.S. sanctions. But last year, a settlement in the case, under which the foundation agreed to give a 36-story building in Manhattan along with other properties to the U.S. government, did not mention Zarif's name. Early in the Iranian Revolution, Zarif was among the students who took over the Iranian Consulate in San Francisco. The aim, says the website Iranian.com -- which cites Zarif's memoirs, titled ""Mr. Ambassador"" -- was to expel from the consulate people who were not sufficiently Islamic. Later, the website says, Zarif went to make a similar protest at the Iranian mission to the United Nations. In response, the Iranian ambassador to the United Nations offered him a job. In fact, he has now spent more time with Kerry than any other foreign minister in the world. And that amount of quality time will only increase as the two men, with help from other foreign ministers as well, try to meet a June 30 deadline for nailing down the details of the agreement they managed to outline this week in Switzerland.","Summarize ( CNN ) following news lately things about Mohammad Javad Zarif Iranian foreign minister U. S. Secretary of State John Kerry ' s opposite number securing breakthrough in nuclear discussions sanctions against Iran details worked out coming weeks received hero ' s welcome arrived in Iran sunny Friday Long live Zarif crowds car rolled street. polished "" jovial. Internet search for Mohammad Javad Zarif jovial yields thousands results bring Iran rejoin international community facts about Zarif less well - known September 2013 Zarif tweeted Happy Rosh Hashanah Jewish New Year prompted Christine Pelosi daughter House Minority Leader Nancy Pelosi respond New Year sweeter end Iran ' s Holocaust denial response Iran never denied Zarif tweeted. denying now gone Happy New Year reference to former Iranian President Mahmoud Ahmadinejad left office previous month Zarif nominated foreign minister by Ahmadinejad s successor Hassan Rouhami foreign ministry notes due political security conditions continue education in United States outside country during demonstrations against Shah of Iran 1977 Iranian Revolution shah from power 1979Zarif left country 1977 received undergraduate degree San Francisco State University 1981 master ' s in international relations University of Denver 1984 doctorate University of Denver 1988 children born in United States. website Iranian Foreign Ministry Zarif agree when born. biography says Zarif born to religious traditional family Tehran 1959 date of birth January 8, 1960. Iranian Diplomacy website says born 1961 54 55 younger than Kerry 71. feds investigated him alleged role controlling Alavi Foundation charitable organization. U. S. Justice Department said organization run Iranian government money U. S. sanctions last year settlement foundation agreed give 36 - story building in Manhattan properties to U. S. government mention Zarif ' s name Early Iranian Revolution Zarif students took over Iranian Consulate in San Francisco. aim website Iranian. com to expel consulate people not Islamic Zarif similar protest at Iranian mission United Nations. Iranian ambassador offered him job. spent more time with Kerry than other foreign minister. quality time as two men foreign ministers meet June 30 deadline for agreement in Switzerland",. working on negotiations secret meetings had taken more than a year 2009-10089 2009 and 2010. website says Iranian and American diplomacy website says says working from,"Mohammad Javad Zarif has spent more time with John Kerry than any other foreign minister .
He once participated in a takeover of the Iranian Consulate in San Francisco .
The Iranian foreign minister tweets in English ."
NeMo_Curator,CNN_DailyMail,3,1202,1202,1.0,Easy,tinyllama,3.4322609901428223,3.045186214766585e-07,"Summarize: (CNN)Five Americans who were monitored for three weeks at an Omaha, Nebraska, hospital after being exposed to Ebola in West Africa have been released, a Nebraska Medicine spokesman said in an email Wednesday. One of the five had a heart-related issue on Saturday and has been discharged but hasn't left the area, Taylor Wilson wrote. The others have already gone home. They were exposed to Ebola in Sierra Leone in March, but none developed the deadly virus. They are clinicians for Partners in Health, a Boston-based aid group. They all had contact with a colleague who was diagnosed with the disease and is being treated at the National Institutes of Health in Bethesda, Maryland. As of Monday, that health care worker is in fair condition. The Centers for Disease Control and Prevention in Atlanta has said the last of 17 patients who were being monitored are expected to be released by Thursday. More than 10,000 people have died in a West African epidemic of Ebola that dates to December 2013, according to the World Health Organization. Almost all the deaths have been in Guinea, Liberia and Sierra Leone. Ebola is spread by direct contact with the bodily fluids of an infected person.","Summarize: (CNN)Five Americans who were monitored for three weeks at an Omaha, Nebraska, hospital after being exposed to Ebola in West Africa have been released, a Nebraska Medicine spokesman said in an email Wednesday. One of the five had a heart-related issue on Saturday and has been discharged but hasn't left the area, Taylor Wilson wrote. The others have already gone home. They were exposed to Ebola in Sierra Leone in March, but none developed the deadly virus. They are clinicians for Partners in Health, a Boston-based aid group. They all had contact with a colleague who was diagnosed with the disease and is being treated at the National Institutes of Health in Bethesda, Maryland. As of Monday, that health care worker is in fair condition. The Centers for Disease Control and Prevention in Atlanta has said the last of 17 patients who were being monitored are expected to be released by Thursday. More than 10,000 people have died in a West African epidemic of Ebola that dates to December 2013, according to the World Health Organization. Almost all the deaths have been in Guinea, Liberia and Sierra Leone. Ebola is spread by direct contact with the bodily fluids of an infected person.",,"17 Americans were exposed to the Ebola virus while in Sierra Leone in March .
Another person was diagnosed with the disease and taken to hospital in Maryland .
National Institutes of Health says the patient is in fair condition after weeks of treatment ."
NeMo_Curator,CNN_DailyMail,4,2140,2140,1.0,Easy,tinyllama,4.506619930267334,2.6255489321793416e-06,"Summarize: (CNN)A Duke student has admitted to hanging a noose made of rope from a tree near a student union, university officials said Thursday. The prestigious private school didn't identify the student, citing federal privacy laws. In a news release, it said the student was no longer on campus and will face student conduct review. The student was identified during an investigation by campus police and the office of student affairs and admitted to placing the noose on the tree early Wednesday, the university said. Officials are still trying to determine if other people were involved. Criminal investigations into the incident are ongoing as well. Students and faculty members marched Wednesday afternoon chanting ""We are not afraid. We stand together,""  after pictures of the noose were passed around on social media. At a forum held on the steps of Duke Chapel, close to where the noose was discovered at 2 a.m., hundreds of people gathered. ""You came here for the reason that you want to say with me, 'This is no Duke we will accept. This is no Duke we want. This is not the Duke we're here to experience. And this is not the Duke we're here to create,' "" Duke President Richard Brodhead told the crowd. The incident is one of several recent racist events to affect college students. Last month a fraternity at the University of Oklahoma had its charter removed after a video surfaced showing members using the N-word and referring to lynching in a chant. Two students were expelled. In February, a noose was hung around the neck of a statue of a famous civil rights figure at the University of Mississippi. A statement issued by Duke said there was a previous report of hate speech directed at students on campus. In the news release, the vice president for student affairs called the noose incident a ""cowardly act."" ""To whomever committed this hateful and stupid act, I just want to say that if your intent was to create fear, it will have the opposite effect,"" Larry Moneta said Wednesday. Duke University is a private college with about 15,000 students in Durham, North Carolina. CNN's Dave Alsup contributed to this report.","Summarize: (CNN)A Duke student has admitted to hanging a noose made of rope from a tree near a student union, university officials said Thursday. The prestigious private school didn't identify the student, citing federal privacy laws. In a news release, it said the student was no longer on campus and will face student conduct review. The student was identified during an investigation by campus police and the office of student affairs and admitted to placing the noose on the tree early Wednesday, the university said. Officials are still trying to determine if other people were involved. Criminal investigations into the incident are ongoing as well. Students and faculty members marched Wednesday afternoon chanting ""We are not afraid. We stand together,""  after pictures of the noose were passed around on social media. At a forum held on the steps of Duke Chapel, close to where the noose was discovered at 2 a.m., hundreds of people gathered. ""You came here for the reason that you want to say with me, 'This is no Duke we will accept. This is no Duke we want. This is not the Duke we're here to experience. And this is not the Duke we're here to create,' "" Duke President Richard Brodhead told the crowd. The incident is one of several recent racist events to affect college students. Last month a fraternity at the University of Oklahoma had its charter removed after a video surfaced showing members using the N-word and referring to lynching in a chant. Two students were expelled. In February, a noose was hung around the neck of a statue of a famous civil rights figure at the University of Mississippi. A statement issued by Duke said there was a previous report of hate speech directed at students on campus. In the news release, the vice president for student affairs called the noose incident a ""cowardly act."" ""To whomever committed this hateful and stupid act, I just want to say that if your intent was to create fear, it will have the opposite effect,"" Larry Moneta said Wednesday. Duke University is a private college with about 15,000 students in Durham, North Carolina. CNN's Dave Alsup contributed to this report.",Read the original article on CNN. Copyright 2016. Follow CNN on Twitter.,"Student is no longer on Duke University campus and will face disciplinary review .
School officials identified student during investigation and the person admitted to hanging the noose, Duke says .
The noose, made of rope, was discovered on campus about 2 a.m."
