Dataset,Prompt,Reference
SST-2,"Sentence: it 's a charming and often affecting journey . 
Sentiment:",positive
SST-2,"Sentence: unflinchingly bleak and desperate 
Sentiment:",negative
SST-2,"Sentence: allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . 
Sentiment:",positive
SST-2,"Sentence: the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . 
Sentiment:",positive
SST-2,"Sentence: it 's slow -- very , very slow . 
Sentiment:",negative
SST-2,"Sentence: although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . 
Sentiment:",positive
SST-2,"Sentence: a sometimes tedious film . 
Sentiment:",negative
SST-2,"Sentence: or doing last year 's taxes with your ex-wife . 
Sentiment:",negative
SST-2,"Sentence: you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . 
Sentiment:",positive
SST-2,"Sentence: in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . 
Sentiment:",negative
SST-2,"Sentence: the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . 
Sentiment:",positive
SST-2,"Sentence: it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . 
Sentiment:",negative
SST-2,"Sentence: ... the film suffers from a lack of humor ( something needed to balance out the violence ) ... 
Sentiment:",negative
SST-2,"Sentence: we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . 
Sentiment:",positive
SST-2,"Sentence: even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . 
Sentiment:",negative
SST-2,"Sentence: a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . 
Sentiment:",positive
SST-2,"Sentence: the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . 
Sentiment:",positive
SST-2,"Sentence: audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . 
Sentiment:",positive
SST-2,"Sentence: ... the movie is just a plain old monster . 
Sentiment:",negative
SST-2,"Sentence: in its best moments , resembles a bad high school production of grease , without benefit of song . 
Sentiment:",negative
SST-2,"Sentence: pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . 
Sentiment:",negative
SST-2,"Sentence: the iditarod lasts for days - this just felt like it did . 
Sentiment:",negative
SST-2,"Sentence: holden caulfield did it better . 
Sentiment:",negative
SST-2,"Sentence: a delectable and intriguing thriller filled with surprises , read my lips is an original . 
Sentiment:",positive
SST-2,"Sentence: seldom has a movie so closely matched the spirit of a man and his work . 
Sentiment:",positive
SST-2,"Sentence: nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . 
Sentiment:",negative
SST-2,"Sentence: the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . 
Sentiment:",negative
SST-2,"Sentence: it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . 
Sentiment:",positive
SST-2,"Sentence: it 's a cookie-cutter movie , a cut-and-paste job . 
Sentiment:",negative
SST-2,"Sentence: i had to look away - this was god awful . 
Sentiment:",negative
SST-2,"Sentence: thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . 
Sentiment:",positive
